name,x,y,distance_to_0,distance_to_1,distance_to_2,distance_to_3,distance_to_4,distance_to_5,distance_to_6,distance_to_7,distance_to_8,distance_to_9,distance_to_10,distance_to_11,distance_to_12,distance_to_13,distance_to_14,distance_to_15,distance_to_16,distance_to_17,distance_to_18,distance_to_19,distance_to_20,distance_to_21,distance_to_22,distance_to_23,distance_to_24,distance_to_25,distance_to_26,distance_to_27,distance_to_28,distance_to_29,distance_to_30,distance_to_31,distance_to_32,distance_to_33,distance_to_34
Hotel a Restaurant Signal,4091.160555128883,3.0699262818857815,0.29043768099548517,0.19293547242894127,0.3107606816939321,0.07486727266524122,1.2926040233696656,1.4136760436730693,2.576832683681027,2.4950654377758963,2.660704181690891,3.312909842265226,3.2709764798949084,2.663350520700426,2.372851323904286,2.250903405272496,1.8960209808263286,1.540456177194868,1.291074204628233,0.7413231739572674,0.6556208349766723,0.515776144927745,0.0,0.4407505029291489,0.3486141868392665,1.3781922615382645,1.1332191589354352,1.0032788047798806,0.9293382765318837,0.9716719769749725,1.06162211134468,1.1321815031289388,1.4613122211105825,1.5118577509050315,1.5109464604936933,1.3947581339391535,1.5121192063974558
Hospudka U Panezu,4091.497797034998,3.8044814591093084,0.7311881839246341,0.6336859753580902,0.7515111846230811,0.3658832302639077,0.8518535204405167,0.9729255407439201,2.1360821807518784,2.0543149348467473,2.219953678761742,2.872159339336077,2.83022597696576,2.2226000177712772,1.932100820975137,1.8101529023433471,1.4552704778971792,1.099705674265719,0.8503237016990844,0.3005726710281184,0.21487033204752337,0.07502564199859604,0.4407505029291489,0.0,0.09213631608988247,0.9374417586091155,0.6924686560062864,0.5625283018507318,0.48858777360273475,0.5309214740458236,0.6208716084155311,0.6914310001997899,1.0205617181814335,1.0711072479758827,1.0701959575645443,0.9540076310100046,1.0713687034683068
Na Halde,4091.4285081016988,1.8799915274665508,0.6390518678347518,0.5415496592682078,0.6593748685331987,0.27374691417402525,0.9439898365303991,1.0650618568338026,2.2282184968417607,2.1464512509366296,2.312089994851625,2.9642956554259596,2.9223622930556417,2.3147363338611595,2.024237137065019,1.9022892184332294,1.5474067939870617,1.1918419903556015,0.9424600177889667,0.39270898711800084,0.30700664813740586,0.16716195808847847,0.3486141868392665,0.09213631608988247,0.0,1.029578074698998,0.7846049720961689,0.6546646179406141,0.5807240896926172,0.6230577901357061,0.7130079245054136,0.7835673162896724,1.112698034271316,1.163243564065765,1.1623322736544268,1.0461439470998868,1.163505019558189
Na Stare Rybarne,4092.217925566566,1.1951866443229844,1.6686299425337494,1.5711277339672058,1.6889529432321964,1.3033249888730232,0.08558823816859873,0.03548378213480467,1.1986404221427627,1.116873176237632,1.2825119201526267,1.9347175807269619,1.8927842183566437,1.285158259162162,0.9946590623660215,0.8727111437342315,0.5178287192880641,0.16226391565660364,0.08711805691003113,0.636869087580997,0.722571426561592,0.8624161166105194,1.3781922615382645,0.9374417586091155,1.029578074698998,0.0,0.244973102602829,0.3749134567583837,0.4488539850063807,0.4065202845632919,0.31657015019358425,0.24601075840932557,0.0831199595723182,0.13366548936676728,0.13275419895542903,0.016565872400889244,0.1339269448591912
U Vatikana,4092.0301271335416,1.3218961775511893,1.4236568399309206,1.3261546313643764,1.4439798406293674,1.0583518862701942,0.1593848644342303,0.28045688473763375,1.443613524745592,1.3618462788404608,1.5274850227554557,2.179690683329791,2.137757320959473,1.5301313617649908,1.2396321649688506,1.1176842463370604,0.7628018218908931,0.40723701825943265,0.1578550456927979,0.39189598497816797,0.477598323958763,0.6174430140076903,1.1332191589354352,0.6924686560062864,0.7846049720961689,0.244973102602829,0.0,0.12994035415555466,0.20388088240355162,0.1615471819604629,0.07159704759075523,0.001037655806496531,0.3280930621751473,0.3786385919695963,0.377727301558258,0.26153897500371825,0.3789000474620203
Che's cafe-bar,4091.9306743618486,0.7630250047046144,1.2937164857753658,1.1962142772088218,1.3140394864738125,0.9284115321146394,0.28932521858978494,0.41039723889318835,1.5735538789011467,1.4917866329960157,1.65742537691101,2.309631037485345,2.2676976751150275,1.6600717159205456,1.3695725191244055,1.2476246004926153,0.8927421760464477,0.5371773724149873,0.28779539984835256,0.26195563082261336,0.3476579698032084,0.4875026598521357,1.0032788047798806,0.5625283018507318,0.6546646179406141,0.3749134567583837,0.12994035415555466,0.0,0.07394052824799695,0.03160682780490823,0.058343306564799406,0.12890269834905813,0.4580334163307019,0.5085789461251509,0.5076676557138128,0.39147932915927297,0.5088404016175749
Coco Bar & Shisha,4091.8739918626175,0.80822128603076,1.219775957527369,1.122273748960825,1.2400989582258157,0.8544710038666424,0.36326574683778196,0.4843377671411853,1.647494407149143,1.5657271612440127,1.7313659051590073,2.3835715657333423,2.3416382033630248,1.7340122441685424,1.4435130473724018,1.3215651287406125,0.9666827042944446,0.6111179006629843,0.3617359280963495,0.18801510257461643,0.2737174415552114,0.41356213160413874,0.9293382765318837,0.48858777360273475,0.5807240896926172,0.4488539850063807,0.20388088240355162,0.07394052824799695,0.0,0.042333700443088734,0.13228383481279637,0.20284322659705506,0.5319739445786988,0.582519474373148,0.5816081839618098,0.4654198574072698,0.5827809298655718
Patapuf,4091.906457894923,0.7107257086422353,1.2621096579704576,1.1646074494039138,1.2824326586689045,0.8968047043097311,0.3209320463946932,0.44200406669809655,1.6051607067060547,1.5233934608009239,1.6890322047159188,2.3412378652902537,2.2993045029199357,1.6916785437254536,1.4011793469293132,1.2792314282975235,0.9243490038513562,0.5687842002198955,0.31940222765326076,0.23034880301770513,0.31605114199830014,0.4558958320472275,0.9716719769749725,0.5309214740458236,0.6230577901357061,0.4065202845632919,0.1615471819604629,0.03160682780490823,0.042333700443088734,0.0,0.08995013436970764,0.16050952615396635,0.48964024413561014,0.5401857739300592,0.539274483518721,0.42308615696418117,0.5404472294224831
Maybe bar,4091.975418550424,0.6098849192774108,1.3520597923401654,1.2545575837736214,1.372382793038612,0.9867548386794389,0.23098191202498555,0.35205393232838894,1.5152105723363472,1.4334433264312163,1.599082070346211,2.251287730920546,2.2093543685502284,1.6017284093557462,1.311229212559606,1.189281293927816,0.8343988694816483,0.4788340658501879,0.2294520932835531,0.3202989373874128,0.40600127636800776,0.5458459664169351,1.06162211134468,0.6208716084155311,0.7130079245054136,0.31657015019358425,0.07159704759075523,0.058343306564799406,0.13228383481279637,0.08995013436970764,0.0,0.07055939178425871,0.3996901097659025,0.45023563956035156,0.4493243491490133,0.3331360225944735,0.45049709505277546
MARTINI'S Pardubice,4092.0295124389954,0.5187793540178091,1.422619184124424,1.32511697555788,1.442942184822871,1.0573142304636978,0.16042252024072684,0.2814945405441302,1.4446511805520885,1.3628839346469575,1.5285226785619521,2.1807283391362873,2.1387949767659693,1.5311690175714874,1.240669820775347,1.1187219021435573,0.7638394776973897,0.4082746740659292,0.15889270149929444,0.3908583291716715,0.4765606681522665,0.6164053582011939,1.1321815031289388,0.6914310001997899,0.7835673162896724,0.24601075840932557,0.001037655806496531,0.12890269834905813,0.20284322659705506,0.16050952615396635,0.07055939178425871,0.0,0.3291307179816438,0.3796762477760928,0.37876495736475463,0.2625766308102148,0.3799377032685168
